
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 22M (3) | XArray + no dask | **0.986** | 1.418 | 0.207 |
| 9 | 22M (3) | XArray + 200 t chunks | **1.174** | 1.913 | 0.663 |
| 9 | 22M (3) | XArray + 20 t chunks | **1.097** | 0.953 | 0.179 |
| 9 | 22M (3) | XArray + 2 t chunks | **1.510** | 1.308 | 0.318 |
| 9 | 22M (3) | CDO | **0.260** | 0.235 | 0.019 |
| 9 | 22M (3) | CDO + serial IO | **0.269** | 0.244 | 0.018 |
| 9 | 22M (3) | NCL | **0.715** | 0.617 | 0.091 |
| 9 | 22M (3) | NCO | **0.602** | 0.543 | 0.051 |
| 9 | 22M (3) | Julia | **5.827** | 5.825 | 0.280 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 89M (3) | XArray + no dask | **2.101** | 2.024 | 0.452 |
| 18 | 89M (3) | XArray + 200 t chunks | **1.282** | 1.656 | 1.561 |
| 18 | 89M (3) | XArray + 20 t chunks | **1.301** | 1.386 | 2.492 |
| 18 | 89M (3) | XArray + 2 t chunks | **1.557** | 1.496 | 0.315 |
| 18 | 89M (3) | CDO | **0.406** | 0.356 | 0.041 |
| 18 | 89M (3) | CDO + serial IO | **0.429** | 0.379 | 0.038 |
| 18 | 89M (3) | NCL | **2.276** | 1.987 | 0.273 |
| 18 | 89M (3) | NCO | **2.489** | 2.239 | 0.229 |
| 18 | 89M (3) | Julia | **6.577** | 6.478 | 0.369 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 158M (3) | XArray + no dask | **1.438** | 2.068 | 0.448 |
| 24 | 158M (3) | XArray + 200 t chunks | **1.880** | 2.258 | 1.884 |
| 24 | 158M (3) | XArray + 20 t chunks | **1.558** | 1.788 | 2.624 |
| 24 | 158M (3) | XArray + 2 t chunks | **1.976** | 1.834 | 0.405 |
| 24 | 158M (3) | CDO | **0.529** | 0.457 | 0.059 |
| 24 | 158M (3) | CDO + serial IO | **0.610** | 0.517 | 0.067 |
| 24 | 158M (3) | NCL | **4.027** | 3.507 | 0.475 |
| 24 | 158M (3) | NCO | **4.562** | 4.110 | 0.422 |
| 24 | 158M (3) | Julia | **8.564** | 7.647 | 0.504 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 356M (3) | XArray + no dask | **4.435** | 2.709 | 1.242 |
| 36 | 356M (3) | XArray + 200 t chunks | **2.408** | 3.908 | 2.911 |
| 36 | 356M (3) | XArray + 20 t chunks | **2.170** | 2.878 | 4.786 |
| 36 | 356M (3) | XArray + 2 t chunks | **1.955** | 2.226 | 0.406 |
| 36 | 356M (3) | CDO | **1.019** | 0.789 | 0.161 |
| 36 | 356M (3) | CDO + serial IO | **0.867** | 0.732 | 0.104 |
| 36 | 356M (3) | NCL | **9.103** | 7.781 | 1.078 |
| 36 | 356M (3) | NCO | **10.372** | 9.096 | 1.052 |
| 36 | 356M (3) | Julia | **10.280** | 8.765 | 0.893 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 60 | 989M (3) | XArray + no dask | **9.299** | 3.767 | 2.590 |
| 60 | 989M (3) | XArray + 200 t chunks | **4.777** | 7.153 | 4.787 |
| 60 | 989M (3) | XArray + 20 t chunks | **3.516** | 7.570 | 10.019 |
| 60 | 989M (3) | XArray + 2 t chunks | **3.869** | 7.056 | 11.654 |
| 60 | 989M (3) | CDO | **2.280** | 1.818 | 0.340 |
| 60 | 989M (3) | CDO + serial IO | **2.089** | 1.793 | 0.274 |
| 60 | 989M (3) | NCL | **25.601** | 21.664 | 3.007 |
| 60 | 989M (3) | NCO | **29.946** | 25.710 | 3.980 |
| 60 | 989M (3) | Julia | **16.671** | 13.786 | 1.937 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 2.2G (3) | XArray + no dask | **22.434** | 7.589 | 12.127 |
| 90 | 2.2G (3) | XArray + 200 t chunks | **19.566** | 14.278 | 16.805 |
| 90 | 2.2G (3) | XArray + 20 t chunks | **8.238** | 16.869 | 18.644 |
| 90 | 2.2G (3) | XArray + 2 t chunks | **7.738** | 15.272 | 23.208 |
| 90 | 2.2G (3) | CDO | **5.424** | 4.133 | 1.160 |
| 90 | 2.2G (3) | CDO + serial IO | **5.827** | 4.285 | 1.167 |
| 90 | 2.2G (3) | NCL | **63.710** | 48.852 | 10.949 |
| 90 | 2.2G (3) | NCO | **67.613** | 57.737 | 8.929 |
| 90 | 2.2G (3) | Julia | **28.123** | 23.273 | 3.728 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 120 | 3.9G (3) | XArray + no dask | **37.891** | 11.317 | 19.480 |
| 120 | 3.9G (3) | XArray + 200 t chunks | **41.033** | 21.114 | 35.903 |
| 120 | 3.9G (3) | XArray + 20 t chunks | **15.271** | 26.079 | 30.995 |
| 120 | 3.9G (3) | XArray + 2 t chunks | **12.193** | 25.716 | 43.533 |
| 120 | 3.9G (3) | CDO | **11.147** | 7.868 | 2.948 |
| 120 | 3.9G (3) | CDO + serial IO | **10.537** | 7.642 | 2.836 |
