
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 6 | 20M (3) | NCL | **0.497** | 0.393 | 0.097 |
| 6 | 20M (3) | NCL Parallel | **0.638** | 3.281 | 0.846 |
| 6 | 20M (3) | MetPy | **1.743** | 2.782 | 0.364 |
| 6 | 20M (3) | MetPy + Dask | **1.813** | 2.899 | 0.364 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 45M (3) | NCL | **0.965** | 0.775 | 0.170 |
| 9 | 45M (3) | NCL Parallel | **0.777** | 3.818 | 1.013 |
| 9 | 45M (3) | MetPy | **2.283** | 4.164 | 0.660 |
| 9 | 45M (3) | MetPy + Dask | **2.364** | 4.220 | 0.640 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 12 | 80M (3) | NCL | **1.415** | 1.158 | 0.237 |
| 12 | 80M (3) | NCL Parallel | **0.955** | 4.450 | 1.101 |
| 12 | 80M (3) | MetPy | **2.983** | 5.049 | 0.963 |
| 12 | 80M (3) | MetPy + Dask | **2.947** | 3.891 | 2.847 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 178M (3) | NCL | **2.804** | 2.394 | 0.369 |
| 18 | 178M (3) | NCL Parallel | **1.406** | 6.304 | 1.478 |
| 18 | 178M (3) | MetPy | **5.115** | 8.502 | 1.808 |
| 18 | 178M (3) | MetPy + Dask | **5.248** | 7.462 | 4.314 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 317M (3) | NCL | **4.767** | 4.187 | 0.524 |
| 24 | 317M (3) | NCL Parallel | **2.076** | 8.895 | 1.889 |
| 24 | 317M (3) | MetPy | **7.931** | 11.477 | 2.674 |
| 24 | 317M (3) | MetPy + Dask | **8.056** | 10.524 | 6.244 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 712M (3) | NCL | **10.433** | 9.137 | 1.149 |
| 36 | 712M (3) | NCL Parallel | **4.054** | 16.661 | 3.662 |
| 36 | 712M (3) | MetPy | **17.076** | 19.808 | 6.269 |
