
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 22M (3) | XArray + no dask | **1.850** | 1.637 | 0.381 |
| 9 | 22M (3) | XArray + 200 t chunks | **1.160** | 1.180 | 0.851 |
| 9 | 22M (3) | XArray + 50 t chunks | **1.117** | 0.937 | 0.181 |
| 9 | 22M (3) | XArray + 20 t chunks | **1.094** | 0.969 | 0.184 |
| 9 | 22M (3) | XArray + 10 t chunks | **1.234** | 1.006 | 0.203 |
| 9 | 22M (3) | XArray + 5 t chunks | **1.331** | 1.093 | 0.232 |
| 9 | 22M (3) | XArray + 2 t chunks | **1.594** | 1.394 | 0.334 |
| 9 | 22M (3) | XArray + 1 t chunks | **2.249** | 1.852 | 0.515 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 22M (3) | CDO | **62.858** | 9.241 | 62.275 |
| 9 | 22M (3) | CDO + serial IO | **34.465** | 7.605 | 34.887 |
| 9 | 22M (3) | NCL | **1.348** | 0.975 | 0.184 |
| 9 | 22M (3) | NCO | **0.933** | 0.813 | 0.079 |
| 9 | 22M (3) | NCO + no tmp file | **0.961** | 0.808 | 0.075 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 22M (4) | XArray + no dask | **1.998** | 1.911 | 0.382 |
| 9 | 22M (4) | XArray + 200 t chunks | **1.533** | 1.542 | 1.016 |
| 9 | 22M (4) | XArray + 50 t chunks | **1.463** | 1.263 | 0.253 |
| 9 | 22M (4) | XArray + 20 t chunks | **1.606** | 1.330 | 0.274 |
| 9 | 22M (4) | XArray + 10 t chunks | **1.791** | 1.378 | 0.287 |
| 9 | 22M (4) | XArray + 5 t chunks | **1.712** | 1.479 | 0.321 |
| 9 | 22M (4) | XArray + 2 t chunks | **2.330** | 1.956 | 0.485 |
| 9 | 22M (4) | XArray + 1 t chunks | **2.878** | 2.531 | 0.676 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 22M (4) | CDO | **fail** | **fail** | **fail** |
| 9 | 22M (4) | CDO + serial IO | **30.895** | 15.881 | 23.815 |
| 9 | 22M (4) | NCL | **1.026** | 0.890 | 0.118 |
| 9 | 22M (4) | NCO | **0.934** | 0.841 | 0.076 |
| 9 | 22M (4) | NCO + no tmp file | **0.951** | 0.852 | 0.080 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 89M (3) | XArray + no dask | **2.675** | 2.359 | 0.656 |
| 18 | 89M (3) | XArray + 200 t chunks | **1.840** | 2.108 | 1.420 |
| 18 | 89M (3) | XArray + 50 t chunks | **1.875** | 2.019 | 2.280 |
| 18 | 89M (3) | XArray + 20 t chunks | **1.917** | 2.060 | 2.546 |
| 18 | 89M (3) | XArray + 10 t chunks | **1.915** | 1.890 | 0.354 |
| 18 | 89M (3) | XArray + 5 t chunks | **2.023** | 1.968 | 0.384 |
| 18 | 89M (3) | XArray + 2 t chunks | **2.604** | 2.483 | 0.564 |
| 18 | 89M (3) | XArray + 1 t chunks | **3.776** | 3.526 | 0.935 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 89M (3) | CDO | **93.317** | 15.351 | 90.746 |
| 18 | 89M (3) | CDO + serial IO | **36.421** | 8.844 | 37.682 |
| 18 | 89M (3) | NCL | **4.405** | 3.676 | 0.531 |
| 18 | 89M (3) | NCO | **3.663** | 3.283 | 0.330 |
| 18 | 89M (3) | NCO + no tmp file | **3.232** | 2.912 | 0.293 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 89M (4) | XArray + no dask | **2.067** | 2.087 | 0.564 |
| 18 | 89M (4) | XArray + 200 t chunks | **1.498** | 1.963 | 1.713 |
| 18 | 89M (4) | XArray + 50 t chunks | **1.531** | 1.638 | 2.122 |
| 18 | 89M (4) | XArray + 20 t chunks | **1.545** | 1.634 | 2.528 |
| 18 | 89M (4) | XArray + 10 t chunks | **1.415** | 1.386 | 0.264 |
| 18 | 89M (4) | XArray + 5 t chunks | **1.585** | 1.519 | 0.308 |
| 18 | 89M (4) | XArray + 2 t chunks | **2.363** | 2.109 | 0.505 |
| 18 | 89M (4) | XArray + 1 t chunks | **3.225** | 3.010 | 0.790 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 89M (4) | CDO | **83.782** | 21.679 | 83.866 |
| 18 | 89M (4) | CDO + serial IO | **23.610** | 13.286 | 18.369 |
| 18 | 89M (4) | NCL | **3.115** | 2.665 | 0.341 |
| 18 | 89M (4) | NCO | **3.165** | 2.846 | 0.274 |
| 18 | 89M (4) | NCO + no tmp file | **3.165** | 2.854 | 0.275 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 158M (3) | XArray + no dask | **3.684** | 2.489 | 0.931 |
| 24 | 158M (3) | XArray + 200 t chunks | **1.941** | 3.718 | 1.388 |
| 24 | 158M (3) | XArray + 50 t chunks | **1.829** | 2.264 | 2.926 |
| 24 | 158M (3) | XArray + 20 t chunks | **1.840** | 2.245 | 3.066 |
| 24 | 158M (3) | XArray + 10 t chunks | **2.010** | 2.319 | 3.178 |
| 24 | 158M (3) | XArray + 5 t chunks | **1.923** | 2.012 | 0.376 |
| 24 | 158M (3) | XArray + 2 t chunks | **2.397** | 2.437 | 0.518 |
| 24 | 158M (3) | XArray + 1 t chunks | **4.513** | 4.310 | 1.100 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
