
| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 6 | 20M (3) | Julia + PackageCompiler | **1.544** | 1.607 | 0.230 |
| 6 | 20M (3) | NetCDF4 | **0.310** | 0.299 | 0.074 |
| 6 | 20M (3) | XArray + no dask | **0.883** | 1.128 | 0.168 |
| 6 | 20M (3) | XArray + 200 t chunks | **1.015** | 2.181 | 0.463 |
| 6 | 20M (3) | XArray + 20 t chunks | **0.892** | 0.756 | 0.147 |
| 6 | 20M (3) | XArray + 2 t chunks | **1.342** | 1.162 | 0.293 |
| 6 | 20M (3) | CDO | **0.262** | 0.229 | 0.022 |
| 6 | 20M (3) | NCL | **0.481** | 0.382 | 0.082 |
| 6 | 20M (3) | NCO | **0.318** | 0.260 | 0.048 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 44M (3) | Julia + PackageCompiler | **1.724** | 1.745 | 0.268 |
| 9 | 44M (3) | NetCDF4 | **0.337** | 0.378 | 0.098 |
| 9 | 44M (3) | XArray + no dask | **0.911** | 1.351 | 0.242 |
| 9 | 44M (3) | XArray + 200 t chunks | **1.025** | 1.208 | 1.344 |
| 9 | 44M (3) | XArray + 20 t chunks | **0.915** | 0.836 | 0.164 |
| 9 | 44M (3) | XArray + 2 t chunks | **1.416** | 1.203 | 0.300 |
| 9 | 44M (3) | CDO | **0.265** | 0.235 | 0.024 |
| 9 | 44M (3) | NCL | **0.743** | 0.620 | 0.116 |
| 9 | 44M (3) | NCO | **0.685** | 0.574 | 0.103 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 12 | 79M (3) | Julia + PackageCompiler | **1.878** | 1.860 | 0.305 |
| 12 | 79M (3) | NetCDF4 | **0.500** | 0.538 | 0.161 |
| 12 | 79M (3) | XArray + no dask | **1.110** | 1.498 | 0.301 |
| 12 | 79M (3) | XArray + 200 t chunks | **1.090** | 1.451 | 1.617 |
| 12 | 79M (3) | XArray + 20 t chunks | **1.021** | 1.082 | 1.873 |
| 12 | 79M (3) | XArray + 2 t chunks | **1.432** | 1.278 | 0.303 |
| 12 | 79M (3) | CDO | **0.308** | 0.258 | 0.039 |
| 12 | 79M (3) | NCL | **1.198** | 0.991 | 0.184 |
| 12 | 79M (3) | NCO | **1.191** | 0.985 | 0.194 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 178M (3) | Julia + PackageCompiler | **4.335** | 2.354 | 0.654 |
| 18 | 178M (3) | NetCDF4 | **0.760** | 0.857 | 0.284 |
| 18 | 178M (3) | XArray + no dask | **1.485** | 2.827 | 0.607 |
| 18 | 178M (3) | XArray + 200 t chunks | **1.377** | 2.179 | 2.145 |
| 18 | 178M (3) | XArray + 20 t chunks | **1.189** | 2.709 | 1.766 |
| 18 | 178M (3) | XArray + 2 t chunks | **1.403** | 1.404 | 0.304 |
| 18 | 178M (3) | CDO | **0.394** | 0.322 | 0.059 |
| 18 | 178M (3) | NCL | **2.274** | 1.972 | 0.282 |
| 18 | 178M (3) | NCO | **2.687** | 2.221 | 0.445 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 316M (3) | Julia + PackageCompiler | **5.482** | 2.938 | 0.975 |
| 24 | 316M (3) | NetCDF4 | **1.158** | 1.377 | 0.459 |
| 24 | 316M (3) | XArray + no dask | **2.147** | 3.312 | 0.970 |
| 24 | 316M (3) | XArray + 200 t chunks | **1.830** | 4.197 | 2.189 |
| 24 | 316M (3) | XArray + 20 t chunks | **1.485** | 2.025 | 4.510 |
| 24 | 316M (3) | XArray + 2 t chunks | **1.511** | 1.685 | 0.323 |
| 24 | 316M (3) | CDO | **0.530** | 0.425 | 0.091 |
| 24 | 316M (3) | NCL | **3.829** | 3.385 | 0.411 |
| 24 | 316M (3) | NCO | **4.721** | 3.883 | 0.817 |

| nlat | size (version) | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 712M (3) | Julia + PackageCompiler | **9.295** | 4.783 | 1.754 |
| 36 | 712M (3) | NetCDF4 | **2.382** | 2.546 | 0.930 |
