
| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 6 | 20M | MetPy | **3.097** | 3.791 | 0.676 |
| 6 | 20M | MetPy + Dask | **2.070** | 3.532 | 0.456 |
| 6 | 20M | NCL | **0.934** | 0.478 | 0.172 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 45M | MetPy | **2.990** | 5.186 | 0.720 |
| 9 | 45M | MetPy + Dask | **2.615** | 5.090 | 0.625 |
| 9 | 45M | NCL | **1.005** | 0.841 | 0.147 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 12 | 80M | MetPy | **4.085** | 6.684 | 1.016 |
| 12 | 80M | MetPy + Dask | **3.603** | 5.751 | 2.218 |
| 12 | 80M | NCL | **1.555** | 1.306 | 0.219 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 178M | MetPy | **7.654** | 11.906 | 1.998 |
| 18 | 178M | MetPy + Dask | **6.531** | 12.409 | 3.816 |
| 18 | 178M | NCL | **3.083** | 2.702 | 0.328 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 317M | MetPy | **12.020** | 17.068 | 3.080 |
| 24 | 317M | MetPy + Dask | **10.281** | 15.785 | 5.604 |
| 24 | 317M | NCL | **5.173** | 4.605 | 0.472 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 712M | MetPy | **29.021** | 32.073 | 9.266 |
| 36 | 712M | MetPy + Dask | **26.983** | 32.950 | 13.518 |
| 36 | 712M | NCL | **11.770** | 10.404 | 1.082 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 55 | 1.7G | MetPy | **86.915** | 70.084 | 27.875 |
| 55 | 1.7G | MetPy + Dask | **73.174** | 69.196 | 32.897 |
| 55 | 1.7G | NCL | **28.837** | 25.831 | 2.265 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 72 | 2.8G | MetPy | **147.974** | 103.638 | 63.187 |
| 72 | 2.8G | MetPy + Dask | **143.163** | 109.547 | 68.630 |
| 72 | 2.8G | NCL | **46.033** | 40.744 | 3.743 |

