
| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.245** | 0.803 | 0.178 |
|  |  | NCO | **0.154** | 0.045 | 0.109 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.166** | 0.815 | 0.252 |
|  |  | NCO | **0.243** | 0.070 | 0.173 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.302** | 0.833 | 0.324 |
|  |  | NCO | **0.363** | 0.113 | 0.250 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.455** | 0.854 | 0.359 |
|  |  | NCO | **0.445** | 0.131 | 0.315 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.801** | 0.947 | 0.453 |
|  |  | NCO | **0.676** | 0.201 | 0.476 |
