
| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.189** | 0.695 | 0.244 |
|  |  | NCO | **0.131** | 0.024 | 0.086 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.336** | 0.678 | 0.222 |
|  |  | NCO | **0.130** | 0.032 | 0.068 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **1.636** | 0.697 | 0.265 |
|  |  | NCO | **0.160** | 0.038 | 0.086 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **2.375** | 0.721 | 0.415 |
|  |  | NCO | **0.255** | 0.060 | 0.143 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **2.921** | 0.811 | 0.553 |
|  |  | NCO | **0.368** | 0.083 | 0.211 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **6.875** | 0.838 | 1.059 |
|  |  | NCO | **0.522** | 0.121 | 0.300 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **7.367** | 0.855 | 1.148 |
|  |  | NCO | **0.663** | 0.142 | 0.363 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **7.668** | 0.897 | 1.222 |
|  |  | NCO | **0.814** | 0.169 | 0.447 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
|  |  | XArray | **7.798** | 0.921 | 1.243 |
|  |  | NCO | **6.885** | 0.210 | 1.238 |
