
| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 6 | 20M | XArray | **0.814** | 0.657 | 0.146 |
| 6 | 20M | NCL | **0.301** | 0.219 | 0.073 |
| 6 | 20M | NCO | **0.043** | 0.014 | 0.020 |
| 6 | 20M | CDO | **0.095** | 0.070 | 0.015 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 9 | 45M | XArray | **0.971** | 0.649 | 0.168 |
| 9 | 45M | NCL | **0.343** | 0.239 | 0.090 |
| 9 | 45M | NCO | **0.067** | 0.019 | 0.032 |
| 9 | 45M | CDO | **0.116** | 0.077 | 0.026 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 12 | 80M | XArray | **1.060** | 0.672 | 0.187 |
| 12 | 80M | NCL | **0.411** | 0.272 | 0.109 |
| 12 | 80M | NCO | **0.104** | 0.026 | 0.051 |
| 12 | 80M | CDO | **0.132** | 0.083 | 0.036 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 18 | 178M | XArray | **1.307** | 0.713 | 0.242 |
| 18 | 178M | NCL | **0.550** | 0.334 | 0.152 |
| 18 | 178M | NCO | **0.195** | 0.043 | 0.096 |
| 18 | 178M | CDO | **0.189** | 0.103 | 0.067 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 24 | 317M | XArray | **1.473** | 0.736 | 0.298 |
| 24 | 317M | NCL | **0.832** | 0.458 | 0.241 |
| 24 | 317M | NCO | **0.355** | 0.076 | 0.176 |
| 24 | 317M | CDO | **0.266** | 0.127 | 0.122 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 36 | 712M | XArray | **2.175** | 0.897 | 0.469 |
| 36 | 712M | NCL | **1.628** | 0.763 | 0.456 |
| 36 | 712M | NCO | **0.822** | 0.168 | 0.406 |
| 36 | 712M | CDO | **0.489** | 0.194 | 0.264 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 55 | 1.7G | XArray | **3.074** | 1.157 | 0.770 |
| 55 | 1.7G | NCL | **3.479** | 1.619 | 1.056 |
| 55 | 1.7G | NCO | **2.147** | 0.436 | 1.128 |
| 55 | 1.7G | CDO | **1.070** | 0.356 | 0.645 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 72 | 2.8G | XArray | **4.613** | 1.458 | 1.302 |
| 72 | 2.8G | NCL | **5.623** | 2.599 | 1.722 |
| 72 | 2.8G | NCO | **3.239** | 0.636 | 1.552 |
| 72 | 2.8G | CDO | **1.665** | 0.526 | 0.968 |

| nlat | size | name | real (s) | user (s) | sys (s) |
| --- | --- | --- | --- | --- | --- |
| 90 | 4.4G | XArray | **5.792** | 1.951 | 1.689 |
| 90 | 4.4G | NCL | **8.576** | 3.908 | 2.659 |
| 90 | 4.4G | NCO | **5.100** | 1.055 | 2.512 |
| 90 | 4.4G | CDO | **2.564** | 0.771 | 1.567 |
